System;Country;City;Population1;Type;Dock Stations;Virtual Stations;Docks;Bikes;Operator;Reponsible Entity;Tecnology / Equipament;Old Tecnology / Equipament;Sponsor;Transit Integration;Opening Hours;Fees;Payment Options;Over Time Aditional Fee;Launched;Shut down;Relaunch;Description Re-launch;Open Data;API/Data;Website;Last update LatinoSBP;Source
Bike PE;Brasil;Recife;1537704;Dock Based;80;NA;1427;800;Tembici;Pedala PE;PBSC;Serttel;Itaú;No;05:00-23:00h;Daily, Monthly or Annual;Credit Card;Yes;May- 2013;NA;Septermber-2017;New bikes, new stations and new Technology;;JSON/GBFS-PBSCShift;https://bikeitau.com.br/bikepe/;13/12/2019;https://jc.ne10.uol.com.br/blogs/movecidade/2019/12/10/planos-para-um-novo-bike-pe/
Bike POA;Brasil;Porto Alegre;1409351;Dock Based;41;NA;736;410;Tembici;Prefeitura de Porto Alegre;Tembici;NA;Itaú;No;06:00-22:00h;Daily, Monthly or Annual;Credit Card;Yes;September-2012;NA;February-2018;New bikes, new stations and new Technology;;JSON/GBFS-PBSCShift;https://bikeitau.com.br/bikepoa/;13/12/2019;https://gauchazh.clicrbs.com.br/porto-alegre/noticia/2018/03/gauchazh-testou-o-novo-sistema-do-bikepoa-veja-como-funciona-cje7sm4nq011p01qox7zjw3a2.html
Bike Rio;Brasil;Rio de Janeiro;6320446;Dock Based;260;NA;4408;2600;Tembici;Prefeitura do Rio de Janeiro;PBSC;Serttel;Itaú;No;06:00h - 23:59h;Daily, Monthly or Annual;Credit Card;Yes;October-2011;NA;February-2018;New bikes, new stations and new Technology;;JSON/GBFS-PBSCShift;https://bikeitau.com.br/bikerio/;13/12/2019;https://bikesharemap.com/rio/#/12.177379675690808/-43.3222/-22.9439/
Bike Salvador;Brasil;Salvador;2675656;Dock Based;50;NA;990/702;400;Tembici;Prefeitura de Salvador;PBSC;Serttel;Itaú;with Salvador Card;05:00-22:30h;Daily, Monthly or Annual;Credit Card;Yes;September-2013;NA;April-2018;New bikes, new stations and new Technology;;JSON/GBFS-PBSCShift;https://bikesalvador.tembici.com.br/;17/12/2019;"https://www.ibahia.com/detalhe/noticia/no-dia-mundial-sem-carro-salvador-inaugura-sistema-de-compartilhamento-de-bicicletas/; https://www.bahianoticias.com.br/noticia/220339-novo-sistema-de-compartilhamento-de-bicicletas-e-inaugurado-em-salvador.html; http://www.salvadorvaidebike.salvador.ba.gov.br/index.php/noticias/87-inauguracao-do-novo-bike-salvador; http://www.salvadorvaidebike.salvador.ba.gov.br/index.php?option=com_content&view=article&id=5&catid=9&Itemid=101"
Bike Sampa;Brasil;São Paulo;11253503;Dock Based;260;NA;4183;2600;Tembici;Prefeitura de São Paulo;PBSC;Serttel;Itaú;with Bilhete Único;24h;Daily, Monthly or Annual;Credit Card;Yes;May-2012;NA;January-2018;New bikes, new stations and new Technology;;JSON/GBFS-PBSCShift;https://bikeitau.com.br/bikesampa/;17/12/2019;"http://g1.globo.com/sao-paulo/noticia/2012/05/sp-inaugura-servico-de-compartilhamento-de-bicicletas.html; https://www1.folha.uol.com.br/cotidiano/2018/01/1954352-gestao-doria-lanca-aluguel-de-bike-por-bilhete-unico-e-com-ate-12-h-de-uso.shtml; https://www.mobilize.org.br/noticias/10746/novo-bike-sampa-comeca-a-ser-implantado-a-partir-de-hoje-19.html"
Bike Sanja;Brasil;São José dos Campos;629921;Dockless;NA;Free-floating;NA;50;Serttel;Prefeitura de São José dos Campos;Serttel;NA;Private;No;06:00-23:00;Payment per hour;Credit Card;Yes;October-2018;NA;NA;NA;;;https://www.sjc.sp.gov.br/servicos/mobilidade-urbana/bikesanja/;17/12/2019;"https://www.sjc.sp.gov.br/noticias/2018/outubro/18/prefeitura-lanca-sistema-de-bicicletas-compartilhadas-e-amplia-conexao-entre-ciclovias/; https://www.aquariuslife.com.br/bikes-compartilhadas-yellow-samba-comparacao-empresas-atuantes-sao-jose/; http://www.serttel.com.br/sao-jose-dos-campos-inaugura-sistema-dockless-para-compartilhamento-de-bicicletas/"
Bike Santos;Brasil;Santos;419400;Dock Based;37;NA;465;370;Serttel;Prefeitura de Santos;Serttel;Serttel;Unimed Santos;with Transit Card;06:00-23:00h;Daily, Monthly or Annual;Credit Card;Yes;November-2012;NA;Septermber-2017;Service charge;;HTML/Mobilicidade;https://www.mobilicidade.com.br/bikesantos/home.aspx;17/12/2019;"http://g1.globo.com/sp/santos-regiao/noticia/2012/11/emprestimo-de-bicicletas-comeca-funcionar-nesta-quinta-em-santos-sp.html; https://www.santos.sp.gov.br/?q=noticia/em-novo-formato-uso-do-bike-santos-aumenta-134-em-janeiro; https://g1.globo.com/sp/santos-regiao/noticia/bike-santos-deixa-de-ser-gratuito-com-um-novo-modelo-de-gestao.ghtml;"
Bike Serra;Brasil;Serra;409267;Dock Based;20;NA;;200;Serttel;Prefeitura de Serra;Serttel;NA;Sicoob;No;05:00h - 23:00h;Daily, Weekly, Monthly and Annual;Credit Card;Yes;March- 2019;NA;NA;NA;;;http://www.bikeserra.com/home.aspx;18/12/2019;"http://www.serra.es.gov.br/site/publicacao/bike-serra-sera-inaugurado-nesta-sexta-29; http://www.serra.es.gov.br:8080/site/publicacao/bike-serra-aprenda-a-utilizar-o-servico-de-bicicletas-compartilhadas"
Bike Vitória;Brasil;Vitória;327801;Dock Based;32;NA;;320;Serttel;Prefeitura de Vitória;Serttel;NA;Unimed / Sicoob;No;06:00-23:00h;Daily, Monthly, Annual;Credit Card;Yes;May- 2016;NA;NA;NA;;;http://www.bikevitoria.com/home.aspx;18/12/2019;"https://m.vitoria.es.gov.br/noticia/bike-vitoria-sistema-ampliado-e-tres-novas-estacoes-serao-inauguradas-34017; https://www.unimed.coop.br/web/vitoria/noticias/-/asset_publisher/VY0yUnAGGIkf/content/vitoria-ganha-mais-10-estacoes-do-bike-vitoria-e-bicicletas-para-criancas?inheritRedirect=false&redirect=https%3A%2F%2Fwww.unimed.coop.br%2Fweb%2Fvitoria%2Fnoticias%3Fp_p_id%3D101_INSTANCE_VY0yUnAGGIkf%26p_p_lifecycle%3D0%26p_p_state%3Dnormal%26p_p_mode%3Dview%26p_p_col_id%3Dcolumn-1%26p_p_col_count%3D1%26p_r_p_564233524_resetCur%3Dfalse; https://www.vitoria.es.gov.br/noticia/bike-vitoria-vai-oferecer-200-bicicletas-em-20-pontos-da-cidade-a-partir-de-maio-20468"
BikePel;Brasil;Pelotas;328275;Dock Based;14;NA;;100;Serttel;Prefeitura de Pelotas;Serttel;NA;Saúde Maior;No;06:00-23:00h;Payment per hour, Monthly;Credit Card;Yes;October-2019;NA;NA;NA;;;http://www.bikepel.com.br/;10/12/2019;http://www.pelotas.com.br/noticia/entenda-como-funciona-o-aplicativo-do-bikepel
BikeVV;Brasil;Vila Velha;414586;Dock Based;20;NA;331;200;Tembici;Prefeitura de Vila Velha;PBSC;NA;samp / Banestes;No;05:00-24:00h;Daily, Montlhy or Annual;Credit Card;Yes;March-2018;NA;NA;NA;;JSON/GBFS-PBSCShift;https://www.bikevv.com.br/;18/12/2019;"http://www.vilavelha.es.gov.br/noticias/2018/03/pedalaco-marca-o-lancamento-do-bike-vv-20156; http://www.vilavelha.es.gov.br/noticias/2018/03/aprenda-como-utilizar-o-bike-vv-20139"
